date,daily_pnl,daily_volume,daily_trades,sentiment_value,sentiment
2024-11-08,-64.41354100000007,210703.14,31,75,Extreme Greed
2024-11-09,651.27489,351708.86,102,75,Extreme Greed
2024-11-10,6754.744631,787178.47,281,78,Extreme Greed
2024-11-11,1382.888623,1329739.26,269,76,Extreme Greed
2024-11-12,10230.053417,1426664.94,179,80,Extreme Greed
2024-11-13,1500.739245,665358.89,39,84,Extreme Greed
2024-11-14,3878.112375,808877.79,123,88,Extreme Greed
2024-11-15,5277.860412,1164586.24,157,80,Extreme Greed
2024-11-16,1338.414594,410947.43,167,86,Extreme Greed
2024-11-17,841.8843459999999,1251753.86,216,90,Extreme Greed
2024-11-18,4778.980365,1930643.82,383,83,Extreme Greed
2024-11-19,2036.612333,1078413.71,329,90,Extreme Greed
2024-11-20,5072.131648,1565790.64,470,83,Extreme Greed
2024-11-21,1092.618889,1112608.72,721,82,Extreme Greed
2024-11-22,-17953.916488,962804.85,495,94,Extreme Greed
2024-11-23,3186.897664,703391.16,354,93,Extreme Greed
2024-11-24,5755.058937,773785.97,166,80,Extreme Greed
2024-11-25,211.993347,1006621.97,321,82,Extreme Greed
2024-11-26,1075.238145,861337.69,244,79,Extreme Greed
2024-11-27,-133555.953943,3002551.93,321,75,Extreme Greed
2024-11-28,4600.011966,350270.86,250,77,Extreme Greed
2024-11-29,203688.398411,980186.87,464,78,Extreme Greed
2024-11-30,11088.123728,1563977.48,356,84,Extreme Greed
2024-12-01,40848.894472,800217.59,373,81,Extreme Greed
2024-12-02,17528.883845,494196.15,215,80,Extreme Greed
2024-12-03,202216.988903,1300764.16,480,76,Extreme Greed
2024-12-04,116269.882736,1100525.09,248,78,Extreme Greed
2024-12-05,76170.654001,1962212.88,519,84,Extreme Greed
2024-12-06,-67386.522631,2501645.08,387,72,Greed
2024-12-07,53841.852311999995,463474.43,308,75,Extreme Greed
2024-12-08,15959.830292999999,692870.35,395,79,Extreme Greed
2024-12-09,15448.402293,1819818.01,824,78,Extreme Greed
2024-12-10,32444.812223,2568693.06,1396,78,Extreme Greed
2024-12-11,392988.711332,2215785.62,1202,74,Greed
2024-12-12,539414.920744,5443342.2,2068,83,Extreme Greed
2024-12-13,30924.330292,2177997.94,1177,76,Extreme Greed
2024-12-14,156258.945406,2317873.74,1130,83,Extreme Greed
2024-12-15,104013.667502,2896789.87,1768,80,Extreme Greed
2024-12-16,227098.343065,2848185.27,1264,83,Extreme Greed
2024-12-17,147841.332797,6250951.1,1947,87,Extreme Greed
2024-12-18,30002.107614,3263385.82,1478,81,Extreme Greed
2024-12-19,56212.564652,7848764.5,3118,75,Extreme Greed
2024-12-20,254592.697517,7238700.66,2558,74,Greed
2024-12-21,149694.710366,4285488.0,1576,73,Greed
2024-12-22,346008.071862,3229657.9699999997,742,73,Greed
2024-12-23,-18140.910821999998,6364268.85,2150,70,Greed
2024-12-24,2220.635456,1688537.04,409,73,Greed
2024-12-25,9026.258193,473221.37,204,73,Greed
2024-12-26,51401.562973,2041151.3,632,79,Extreme Greed
2024-12-27,2849.312899,284541.83,265,74,Greed
2024-12-28,1127.436985,348659.61,160,72,Greed
2024-12-29,2932.899086,381333.33,244,73,Greed
2024-12-30,8657.018081,1191750.57,302,65,Greed
2024-12-31,-4276.254108000001,867887.62,272,64,Greed
2025-01-01,2272.76769,328861.65,163,66,Greed
2025-01-02,8134.438155,762411.32,379,70,Greed
2025-01-03,4671.049715,549647.35,450,74,Greed
2025-01-04,3978.5128640000003,1977632.16,391,73,Greed
2025-01-05,1786.796002,422895.26,239,72,Greed
2025-01-06,6046.471218000001,429520.71,551,76,Extreme Greed
2025-01-07,20281.306818,2148691.2600000002,846,78,Extreme Greed
2025-01-08,126027.192072,2428988.54,1026,70,Greed
2025-01-09,4547.181257999999,4113308.15,620,69,Greed
2025-01-10,33440.231444,4008089.75,536,50,Neutral
2025-01-11,1406.990609,1566280.75,281,69,Greed
2025-01-12,6065.1640800000005,2522341.59,590,62,Greed
2025-01-13,20982.658074,2501219.32,479,61,Greed
2025-01-14,5844.289521000001,1363716.97,227,63,Greed
2025-01-15,14725.263549,1643989.78,366,70,Greed
2025-01-16,20129.51035,2838363.44,266,75,Extreme Greed
2025-01-17,6060.980589,887491.4,216,75,Extreme Greed
2025-01-18,4408.493654999999,3643728.08,764,77,Extreme Greed
2025-01-19,88800.634307,12710876.72,1823,77,Extreme Greed
2025-01-20,86324.992679,4595599.78,996,76,Extreme Greed
2025-01-21,8803.699602,1413631.32,531,76,Extreme Greed
2025-01-22,20223.294429,1645018.32,875,84,Extreme Greed
2025-01-23,106157.684142,4449470.9,1539,75,Extreme Greed
2025-01-24,7415.037188,1268823.37,551,75,Extreme Greed
2025-01-25,-13422.707768,558358.92,414,75,Extreme Greed
2025-01-26,41494.608714,1584597.93,481,73,Greed
2025-01-27,41503.695273,1198906.54,809,71,Greed
2025-01-28,16918.060022,1273346.54,827,72,Greed
2025-01-29,34780.861689,2611991.07,702,72,Greed
2025-01-30,18750.564854,2139937.55,1086,70,Greed
2025-01-31,35992.120465,2617094.93,908,76,Extreme Greed
2025-02-01,56593.463836,2867333.09,1097,68,Greed
2025-02-02,277184.586276,13367534.01,1319,60,Greed
2025-02-03,218563.123944,16734615.2,2575,44,Fear
2025-02-04,453317.022813,17629733.67,2262,72,Greed
2025-02-05,31099.975954999998,3381761.52,1050,54,Neutral
2025-02-06,7635.792227999998,2915127.2,1559,49,Neutral
2025-02-07,22695.833513999998,3619850.26,1720,44,Fear
2025-02-08,2332.528687,700651.3099999999,538,44,Fear
2025-02-09,205442.472968,4875566.93,695,46,Neutral
2025-02-10,7093.074541,2152587.71,667,43,Fear
2025-02-11,4505.511981000001,2938112.14,1077,47,Neutral
2025-02-12,19737.689546999998,4506407.46,1557,46,Neutral
2025-02-13,211258.329156,3212049.57,1180,50,Neutral
2025-02-14,27590.51584,3492549.86,1656,48,Neutral
2025-02-15,37440.056881,1058049.27,478,50,Neutral
2025-02-16,2418.931102,691192.74,749,54,Neutral
2025-02-17,3937.52993,2345878.28,941,51,Neutral
2025-02-18,94400.153942,3703151.84,1719,47,Neutral
2025-02-19,50157.73474,5059431.23,2282,44,Fear
2025-02-20,89659.355004,2953026.2399999998,1562,49,Neutral
2025-02-21,43689.170281,4975305.34,1503,55,Greed
2025-02-22,17011.893458,1628131.1,525,49,Neutral
2025-02-23,21400.121724,1038114.2,535,50,Neutral
2025-02-24,94372.920704,19146227.69,7454,49,Neutral
2025-02-25,165683.870315,14969913.94,4978,25,Fear
2025-02-26,-3088.4468940000015,1957574.92,506,21,Extreme Fear
2025-02-27,150306.623966,2968041.04,1059,10,Extreme Fear
2025-02-28,77819.274591,2330474.34,755,16,Extreme Fear
2025-03-01,10128.274607,246855.61000000002,153,20,Extreme Fear
2025-03-02,70910.713087,6851806.15,813,26,Fear
2025-03-03,632873.423559,9161421.29,1592,33,Fear
2025-03-04,232134.79451,11380286.42,2531,15,Extreme Fear
2025-03-05,201588.096149,7865894.5600000005,1209,20,Extreme Fear
2025-03-06,22311.519091000002,16183999.39,1675,25,Fear
2025-03-07,157235.039383,10498822.9,1782,34,Fear
2025-03-08,9609.358807,901033.72,542,28,Fear
2025-03-09,20817.095659000002,14634251.94,1650,27,Fear
2025-03-10,-51970.27505,15951579.48,3061,20,Extreme Fear
2025-03-11,223399.891606,15562459.1,4067,24,Extreme Fear
2025-03-12,34014.498988,13638894.21,2618,34,Fear
2025-03-13,24370.858321,3945009.23,1168,45,Neutral
2025-03-14,92714.197018,9152165.82,2078,27,Fear
2025-03-15,33497.074281,750938.22,221,46,Neutral
2025-03-16,-2008.9029359999988,10650571.52,779,30,Fear
2025-03-17,93959.62231,3525506.16,707,32,Fear
2025-03-18,7483.304346,3637786.83,780,34,Fear
2025-03-19,34708.54713,5023680.41,1796,32,Fear
2025-03-20,2357.092573,1075016.05,631,49,Neutral
2025-03-21,12516.252424,2696819.75,865,31,Fear
2025-03-22,8998.232514,703960.04,277,32,Fear
2025-03-23,13858.034381,2697387.98,570,30,Fear
2025-03-24,135808.700965,3818240.99,1003,45,Neutral
2025-03-25,5973.894923,4754660.28,850,46,Neutral
2025-03-26,25443.537876,7988748.48,3106,47,Neutral
2025-03-27,48702.545905,2795895.11,709,40,Fear
2025-03-28,23517.537782,1990941.67,1002,44,Fear
2025-03-29,8985.956622,2874311.08,1563,26,Fear
2025-03-30,15032.844293,3388624.25,599,32,Fear
2025-03-31,3804.9486159999997,1614665.02,438,34,Fear
2025-04-01,-1669.7787990000004,759514.89,269,34,Fear
2025-04-02,198719.634859,7293619.3,1434,44,Fear
2025-04-03,5272.497262,5685254.08,1541,25,Fear
2025-04-04,2184.088478,3962483.33,1167,28,Fear
2025-04-05,4178.427732,639951.84,246,30,Fear
2025-04-06,37145.7286,7843164.35,1761,34,Fear
2025-04-07,43344.875183,11655386.56,2319,23,Extreme Fear
2025-04-08,36416.74677,9112872.61,1076,24,Extreme Fear
2025-04-09,146424.966292,37035403.36,4440,18,Extreme Fear
2025-04-10,44337.764566,18953571.68,1378,39,Fear
2025-04-11,152858.153685,26306383.92,1707,25,Fear
2025-04-12,402485.239189,51097568.5,2055,43,Fear
2025-04-13,47331.968911,7643018.24,1017,45,Neutral
2025-04-14,41034.451349999996,9297735.75,663,31,Fear
2025-04-15,65220.012642,23524374.38,1230,38,Fear
2025-04-16,64108.009494,33836950.44,1666,29,Fear
2025-04-17,42765.363192,25084890.29,2117,30,Fear
2025-04-18,-31985.635386,3890342.85,1012,33,Fear
2025-04-19,70323.882362,31486351.08,2827,32,Fear
2025-04-20,48126.158055,23120398.12,1877,37,Fear
2025-04-21,31264.441364,40646778.74,1456,39,Fear
2025-04-22,-73983.57208900001,43622099.42,4560,47,Neutral
2025-04-23,-263645.034956,27113405.07,5593,72,Greed
2025-04-24,16886.714344,44057502.11,1715,63,Greed
2025-04-25,11334.80486,12055386.03,1425,60,Greed
2025-04-26,-4271.024566,1875309.39,725,65,Greed
2025-04-27,2609.847432,575211.38,430,61,Greed
2025-04-28,53507.209606,41121301.78,2037,54,Neutral
2025-04-29,121093.546771,29541188.54,2101,60,Greed
2025-04-30,-7787.045364999998,5936390.12,1137,56,Greed
2025-05-01,64475.562776,6941998.39,597,53,Neutral
